Algorithm,Q mean±std,Q max,k mean±std,Runtime mean±std (s),Plan B NMI median,Plan B ARI median
Louvain,0.8035 ± 0.0051,0.8075,71.8 ± 2.1,2.42 ± 0.29,0.3393,0.1874
Leiden,0.8100 ± 0.0016,0.8112,75.5 ± 2.4,1.51 ± 0.04,0.3274,0.1864
